HomeTeam,AwayTeam,FTHG,FTAG,B365H,B365D,B365A
Burnley,Wolves,2,0,3.2,3.25,2.45
Crystal Palace,Huddersfield,2,0,1.45,4.4,9
Fulham,Man City,0,2,21,11,1.12
Leicester,Bournemouth,2,0,1.85,3.8,4.5
Man United,Watford,2,1,1.44,4.75,8
West Ham,Everton,0,2,2.55,3.5,2.9
Cardiff,Chelsea,1,2,9,4.5,1.44
Liverpool,Tottenham,2,1,1.61,4.2,6
Arsenal,Newcastle,2,0,1.36,5.25,9.5
Watford,Fulham,4,1,1.72,4,5
Wolves,Man United,2,1,4,3.6,2
Chelsea,Brighton,3,0,1.25,6.5,15
Man City,Cardiff,2,0,1.06,17,34
Tottenham,Crystal Palace,2,0,1.45,5,7.5
Southampton,Liverpool,1,3,9,5,1.4
Bournemouth,Burnley,1,3,2.1,3.6,3.75
Huddersfield,Leicester,1,4,5,4,1.72
Newcastle,Crystal Palace,0,1,2.6,3.25,3
Everton,Arsenal,1,0,3,3.75,2.35
Chelsea,West Ham,2,0,1.33,5.75,9.5
Leicester,Newcastle,0,1,1.66,4,5.75
Brighton,Bournemouth,0,5,2.3,3.4,3.4
Burnley,Cardiff,2,0,1.9,3.6,4.5
Fulham,Everton,2,0,5,4,1.75
Man United,West Ham,2,1,1.4,5.25,8.5
Southampton,Wolves,3,1,2.6,3.25,3
Tottenham,Huddersfield,4,0,1.22,7,15
Crystal Palace,Man City,1,3,11,6,1.3
Liverpool,Chelsea,2,0,1.66,4.2,5.25
Watford,Arsenal,0,1,3.2,3.75,2.25
Brighton,Cardiff,0,2,2,3.3,4.5
Bournemouth,Fulham,0,1,1.65,4.4,5.25
Huddersfield,Watford,1,2,4.4,3.9,1.85
Man City,Tottenham,1,0,1.3,6,11
Newcastle,Southampton,3,1,2.55,3.2,3.1
West Ham,Leicester,2,2,3.3,3.5,2.3
Wolves,Brighton,0,0,1.75,3.5,6
Arsenal,Crystal Palace,2,3,1.53,4.6,6.5
Cardiff,Liverpool,0,2,17,7.5,1.2
Everton,Man United,4,0,3.25,3.5,2.3
Chelsea,Burnley,2,2,1.25,6.25,15
Tottenham,Brighton,1,0,1.28,6,13
Watford,Southampton,1,1,2.25,3.5,3.4
Man United,Man City,0,2,7.5,5,1.44
Wolves,Arsenal,3,1,2.9,3.5,2.55
Liverpool,Huddersfield,5,0,1.07,15,41
Brighton,Newcastle,1,1,2.3,3.2,3.6
Crystal Palace,Everton,0,0,2.62,3.5,2.8
Fulham,Cardiff,1,0,2.4,3.6,3
Southampton,Bournemouth,3,3,1.9,3.9,4.1
Tottenham,West Ham,0,1,1.4,5.5,7.5
Watford,Wolves,1,2,2.62,3.3,2.9
Burnley,Man City,0,1,23,9,1.14
Leicester,Arsenal,3,0,2.75,3.6,2.6
Man United,Chelsea,1,1,2.7,3.5,2.7
Everton,Burnley,2,0,1.66,4,5.75
Bournemouth,Tottenham,1,0,4,4,1.9
Cardiff,Crystal Palace,2,3,2.6,3.75,2.7
Newcastle,Liverpool,2,3,9.5,5.25,1.36
West Ham,Southampton,3,0,2.3,3.75,3.1
Wolves,Fulham,1,0,1.53,4.2,7.5
Arsenal,Brighton,1,1,1.4,5,9
Chelsea,Watford,3,0,1.4,5.25,8
Huddersfield,Man United,1,1,11,6,1.3
Man City,Leicester,1,0,1.12,8.5,17
Brighton,Man City,1,4,19,8.5,1.16
Burnley,Arsenal,1,3,3.25,3.8,2.2
Crystal Palace,Bournemouth,5,3,1.9,4.2,3.8
Fulham,Newcastle,0,4,2.5,3.6,2.9
Leicester,Chelsea,0,0,2.4,3.75,2.9
Liverpool,Wolves,2,0,1.3,6,11
Man United,Cardiff,0,2,1.28,6.5,11
Southampton,Huddersfield,1,1,1.44,4.75,8.5
Tottenham,Everton,2,2,2.2,3.5,3.5
Watford,West Ham,1,4,2.25,3.75,3.2
Bayern Munich,Hoffenheim,3,1,1.2,7.5,12
Fortuna Dusseldorf,Augsburg,1,2,2.37,3.25,3
Freiburg,Ein Frankfurt,0,2,2.3,3.3,3.25
Hertha,Nurnberg,1,0,2.04,3.4,3.75
M'gladbach,Leverkusen,2,0,2.8,3.5,2.45
Werder Bremen,Hannover,1,1,1.85,3.6,4
Wolfsburg,Schalke 04,2,1,3.1,3.3,2.37
Dortmund,RB Leipzig,4,1,1.72,3.8,4.75
Mainz,Stuttgart,1,0,2.7,3.25,2.7
Hannover,Dortmund,0,0,5.5,4.33,1.57
Augsburg,M'gladbach,1,1,2.62,3.4,2.7
Ein Frankfurt,Werder Bremen,1,2,2.4,3.5,2.9
Hoffenheim,Freiburg,3,1,1.55,4,6.5
Leverkusen,Wolfsburg,1,3,1.61,4.33,5
Nurnberg,Mainz,1,1,2.37,3.3,3.1
Stuttgart,Bayern Munich,0,3,11,5.5,1.28
RB Leipzig,Fortuna Dusseldorf,1,1,1.4,4.75,8
Schalke 04,Hertha,0,2,1.75,3.6,5
Dortmund,Ein Frankfurt,3,1,1.4,5,7.5
Bayern Munich,Leverkusen,3,1,1.2,7,13
Fortuna Dusseldorf,Hoffenheim,2,1,4,3.6,1.9
Mainz,Augsburg,2,1,2.54,3.25,2.87
M'gladbach,Schalke 04,2,1,2.37,3.4,3
RB Leipzig,Hannover,3,2,1.53,4.33,5.5
Wolfsburg,Hertha,2,2,2.1,3.25,3.75
Freiburg,Stuttgart,3,3,2.62,3.25,2.75
Werder Bremen,Nurnberg,1,1,1.66,4,5
Stuttgart,Fortuna Dusseldorf,0,0,1.72,3.6,5.25
Augsburg,Werder Bremen,2,3,2.5,3.25,2.9
Hertha,M'gladbach,4,2,2.37,3.3,3.1
Hoffenheim,Dortmund,1,1,2.62,3.75,2.4
Nurnberg,Hannover,2,0,2.5,3.25,2.9
Schalke 04,Bayern Munich,0,2,8,4.5,1.4
Wolfsburg,Freiburg,1,3,1.72,3.6,5.25
Ein Frankfurt,RB Leipzig,1,1,2.9,3.4,2.35
Leverkusen,Mainz,1,0,1.57,4.33,5.5
Bayern Munich,Augsburg,1,1,1.1,10,23
Freiburg,Schalke 04,1,0,3.5,3.2,2.14
Hannover,Hoffenheim,1,3,3.5,3.6,2.04
Werder Bremen,Hertha,3,1,2,3.5,3.8
Dortmund,Nurnberg,7,0,1.3,5.5,10
Fortuna Dusseldorf,Leverkusen,1,2,3.75,3.75,1.95
Mainz,Wolfsburg,0,0,2.6,3.25,2.8
M'gladbach,Ein Frankfurt,3,1,1.75,3.8,4.75
RB Leipzig,Stuttgart,2,0,1.72,3.8,4.75
Hertha,Bayern Munich,2,0,10,5.75,1.28
Hoffenheim,RB Leipzig,1,2,2.04,3.75,3.4
Leverkusen,Dortmund,2,4,2.8,3.5,2.4
Nurnberg,Fortuna Dusseldorf,3,0,2.14,3.4,3.4
Schalke 04,Mainz,1,0,1.64,3.75,5.5
Stuttgart,Werder Bremen,2,1,2.7,3.25,2.7
Wolfsburg,M'gladbach,2,2,2.3,3.4,3.1
Augsburg,Freiburg,4,1,1.9,3.4,4.33
Ein Frankfurt,Hannover,4,1,1.9,3.6,4
Werder Bremen,Wolfsburg,2,0,1.95,3.5,4
Bayern Munich,M'gladbach,0,3,1.2,7,13
Dortmund,Augsburg,4,3,1.44,4.75,7
Fortuna Dusseldorf,Schalke 04,0,2,3.6,3.4,2.1
Hannover,Stuttgart,3,1,2.5,3.3,2.87
Mainz,Hertha,0,0,2.7,3.2,2.7
Freiburg,Leverkusen,0,0,3.4,3.4,2.14
Hoffenheim,Ein Frankfurt,1,2,1.72,3.8,4.75
RB Leipzig,Nurnberg,6,0,1.44,4.75,7
Ein Frankfurt,Fortuna Dusseldorf,7,1,1.61,3.8,5.75
Augsburg,RB Leipzig,0,0,3,3.5,2.3
Leverkusen,Hannover,2,2,1.5,4.33,6.5
Nurnberg,Hoffenheim,1,3,3.75,3.8,1.9
Schalke 04,Werder Bremen,0,2,2.04,3.4,3.75
Stuttgart,Dortmund,0,4,4.2,3.75,1.83
Wolfsburg,Bayern Munich,1,3,8.5,5,1.36
Hertha,Freiburg,1,1,1.85,3.6,4.33
M'gladbach,Mainz,4,0,1.61,4.33,5
Freiburg,M'gladbach,3,1,3.5,3.6,2
Dortmund,Hertha,2,2,1.4,4.75,8
Fortuna Dusseldorf,Wolfsburg,0,3,3,3.4,2.37
Hannover,Augsburg,1,2,2.6,3.3,2.75
Hoffenheim,Stuttgart,4,0,1.57,4.33,5.5
Mainz,Bayern Munich,1,2,11,6.5,1.25
Nurnberg,Ein Frankfurt,1,1,3.3,3.5,2.14
RB Leipzig,Schalke 04,0,0,1.75,3.6,4.75
Werder Bremen,Leverkusen,2,6,2.3,3.4,3.1
Stuttgart,Ein Frankfurt,0,3,3,3.5,2.3
Augsburg,Nurnberg,2,2,1.6,3.8,6
Bayern Munich,Freiburg,1,1,1.11,10,21
Hertha,RB Leipzig,0,3,3.2,3.4,2.25
Leverkusen,Hoffenheim,1,4,2.1,4,3.1
Schalke 04,Hannover,3,1,1.61,3.8,6
Wolfsburg,Dortmund,0,1,3.8,3.8,1.9
Mainz,Werder Bremen,2,1,3,3.4,2.37
M'gladbach,Fortuna Dusseldorf,3,0,1.36,4.75,8
Hannover,Wolfsburg,2,1,2.9,3.3,2.37
Dortmund,Bayern Munich,3,2,3.1,3.8,2.1
