HomeTeam,AwayTeam,FTHG,FTAG,B365H,B365D,B365A,B365O25,B365U25
Stuttgart,St Pauli,2,0,1.67,3.75,5,,
Bayern Munich,Freiburg,4,2,1.29,5,11,,
FC Koln,Hamburg,3,2,3.7,3.4,2,,
Kaiserslautern,M'gladbach,3,0,2.1,3.4,3.4,,
Schalke 04,Leverkusen,0,1,2.5,3.3,2.75,,
St Pauli,Ein Frankfurt,1,3,2.5,3.25,2.8,,
Werder Bremen,Nurnberg,2,3,1.5,4.33,6,,
Wolfsburg,Stuttgart,2,0,2.1,3.4,3.4,,
Hoffenheim,Hannover,4,0,1.62,3.7,5.5,,
Mainz,Dortmund,0,2,2.75,3.3,2.5,,
Schalke 04,St Pauli,3,0,1.7,3.6,5,,
Ein Frankfurt,Wolfsburg,3,1,2.38,3.4,2.88,,
Freiburg,Mainz,1,0,2.9,3.3,2.4,,
Hamburg,Hoffenheim,2,1,2.25,3.25,3.2,,
M'gladbach,Bayern Munich,3,3,5.5,4,1.57,,
Nurnberg,FC Koln,3,1,2,3.4,3.75,,
Hannover,Dortmund,0,4,4.33,3.6,1.8,,
Leverkusen,Kaiserslautern,3,1,1.44,4.5,6.5,,
Stuttgart,Werder Bremen,6,0,2.5,3.3,2.75,,
Dortmund,Hamburg,2,0,1.73,3.75,4.5,,
FC Koln,M'gladbach,0,4,2.1,3.5,3.3,,
Kaiserslautern,Stuttgart,3,3,3,3.4,2.3,,
Mainz,Hannover,0,1,1.73,3.5,5,,
St Pauli,Leverkusen,0,1,3.4,3.4,2.1,,
